LIN	Species	Strain	Filename	Accession	taxid_LIN	parent_LIN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	Chlamydia trachomatis	D/UW-3/CX	GCF_000008725.1_ASM872v1_genomic.fna	GCF_000008725.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	trachomatis	D-LC	GCF_000093005.1_ASM9300v1_genomic.fna	GCF_000093005.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0	trachomatis	Ia/CS190/96	GCF_001183845.1_ASM118384v1_genomic.fna	GCF_001183845.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23, 24]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0	trachomatis	D/CS637/11	GCF_001183765.1_ASM118376v1_genomic.fna	GCF_001183765.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 25, 26, 27, 28]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 25, 26, 27]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0	trachomatis	SQ24	GCF_002776885.1_ASM277688v1_genomic.fna	GCF_002776885.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 29, 30, 31, 32]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 29, 30, 31]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0	trachomatis	D/14-96	GCF_000590695.1_ASM59069v1_genomic.fna	GCF_000590695.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 33, 34, 35, 36]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 33, 34, 35]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0	trachomatis	G/9301	GCF_000092805.1_ASM9280v1_genomic.fna	GCF_000092805.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 37, 38, 39, 40, 41, 42]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 37, 38, 39, 40, 41]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1	trachomatis	G/11074	GCF_000092725.1_ASM9272v1_genomic.fna	GCF_000092725.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 37, 38, 39, 40, 41, 43]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 37, 38, 39, 40, 41]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0	trachomatis	G/11222	GCF_000092705.1_ASM9270v1_genomic.fna	GCF_000092705.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48, 49]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 44, 45, 46, 47, 48]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0	trachomatis	6276	GCF_000173475.1_ASM17347v1_genomic.fna	GCF_000173475.1	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 50, 51, 52, 53, 54, 55]	[1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 50, 51, 52, 53, 54]
